"hate_speech","counter_speech","target"
"Bring back lynchings and death sentences to kill those migrants.","How about we return to a time when people were convicted and executed for crimes that never happened? You can tell me where the right to a fair trial is in that case.","MIGRANTS"
"We shouldn't welcome Muslim refugees. They are most likely to perpetrate terrorist attacks in Europe.","We have to accept that terrorism is a problem in many parts of the world and due to people of different faiths, but the more we ignore that, the more dangerous it becomes to think it is caused by one religion.","other"
"We shouldn't welcome Muslim refugees. They are most likely to perpetrate terrorist attacks in Europe.","All countries have the right to host refugees from outside their borders, since these people are persecuted within their own borders.","other"
"Islam is not a peaceful religion.","There are some examples of non-peaceful groups in Islam: for example ISIL, a group that has carried out a lot of terrorist attacks and killed many people. However, I don't think they represent all Muslims and I definitely don't think that peaceful Muslims can't exist too.","MUSLIMS"
"Islam is not a peaceful religion.","To claim that Islam is not peaceful is without foundation. According to the Quran, Islam is a peaceful religion. If you want to understand what is really going on with the world, then you should study the Quran, not spout hate speech.","MUSLIMS"
"Islam is not a peaceful religion.","Muslims are peaceful, but it is understandable that they feel annoyed when they are attacked by people who are just trying to discriminate against them for their beliefs.","MUSLIMS"
"Muslims have no place in civilised Europe","It is wrong to associate a specific group of people to ""civilisation"". The real problem for Europe is this culture of division, not the inclusion of people with different religious beliefs.","MUSLIMS"
"Muslims have no place in civilised Europe.","A European country is partly also a Muslim country. To imply otherwise is to ignore the actual state of things and be prejudiced.","MUSLIMS"
"Muslims have no place in civilised Europe.","Muslims are a part of Western society. They are a part of the EU.","MUSLIMS"
"Muslims are just sick. They are not interested in Western culture.","I don't know many Muslims, but I don't think they are sick just because of their faith. Islam is a religion of peace, there is no reason for Muslims to be discriminated against because of it.","MUSLIMS"
"Muslims are terrorists.","People of any religion can be terrorists.","MUSLIMS"
"Islam banned women from society: this is not the religion of peace!","It is incumbent on Muslims to live up to the teachings of the Quran: and this does not include banning women from society.","MUSLIMS"
"Islam banned women from society: this is not the religion of peace!","The status of women is more about culture than it is about the Koran.","MUSLIMS"
